title,category,price_usd,rating,stock_status,num_reviews
Book Title Item #0001,Arts & Design,94.58,Four,In stock,39
Book Title Item #0002,History,53.21,Four,In stock,51
Book Title Item #0003,Business,,Three,In stock,47
Book Title Item #0004,Arts & Design,78.69,Four,In stock,55
Book Title Item #0005,Science & Tech,33.99,Five,In stock,43
Book Title Item #0006,Business,55.54,Three,In stock,43
Book Title Item #0007,Business,30.64,Five,In stock,39
Book Title Item #0008,Arts & Design,354.26,Three,In stock,52
Book Title Item #0009,Non-Fiction,15.45,One,In stock,48
Book Title Item #0010,Science & Tech,23.76,Three,Out of stock,35
Book Title Item #0011,Arts & Design,49.61,Three,Out of stock,35
Book Title Item #0012,Science & Tech,13.46,Three,In stock,53
Book Title Item #0013,Science & Tech,38.89,One,In stock,40
Book Title Item #0014,Business,40.63,Five,In stock,49
Book Title Item #0015,History,50.43,Five,In stock,35
Book Title Item #0016,Science & Tech,15.5,Four,Out of stock,36
Book Title Item #0017,Self-Help,13.99,Two,Out of stock,49
Book Title Item #0018,Business,60.49,Two,In stock,43
Book Title Item #0019,Non-Fiction,40.65,One,In stock,39
Book Title Item #0020,History,30.87,Four,In stock,46
Book Title Item #0021,Self-Help,15.14,Five,In stock,42
Book Title Item #0022,Self-Help,29.77,Three,In stock,46
Book Title Item #0023,Non-Fiction,20.06,Two,In stock,43
Book Title Item #0024,History,58.88,Four,In stock,49
Book Title Item #0025,Business,17.47,Three,In stock,40
Book Title Item #0026,,32.76,Three,In stock,47
Book Title Item #0027,,55.81,Four,In stock,45
Book Title Item #0028,Non-Fiction,50.71,Four,In stock,37
Book Title Item #0029,Self-Help,28.9,Two,In stock,35
Book Title Item #0030,Business,51.06,One,In stock,50
Book Title Item #0031,History,55.86,Five,In stock,54
Book Title Item #0032,Fiction,39.69,Three,Out of stock,44
Book Title Item #0033,Fiction,46.56,One,In stock,55
Book Title Item #0034,Science & Tech,32.99,Two,In stock,38
Book Title Item #0035,Science & Tech,64.61,One,In stock,47
Book Title Item #0036,Arts & Design,35.44,Three,In stock,47
Book Title Item #0037,Non-Fiction,515.89,Five,In stock,45
Book Title Item #0038,History,47.85,Three,In stock,51
Book Title Item #0039,History,,Three,Out of stock,48
Book Title Item #0040,Arts & Design,69.13,Four,In stock,40
Book Title Item #0041,Self-Help,45.77,Four,In stock,39
Book Title Item #0042,Self-Help,12.12,Five,In stock,46
Book Title Item #0043,Arts & Design,57.18,Five,Out of stock,48
Book Title Item #0044,Self-Help,42.86,One,In stock,48
Book Title Item #0045,Science & Tech,,Four,In stock,39
Book Title Item #0046,History,37.92,Four,In stock,42
Book Title Item #0047,Arts & Design,67.44,Five,Out of stock,32
Book Title Item #0048,History,25.38,Four,In stock,41
Book Title Item #0049,Fiction,58.61,Five,In stock,49
Book Title Item #0050,Science & Tech,43.54,Four,In stock,42
Book Title Item #0051,Business,14.05,Three,In stock,57
Book Title Item #0052,Science & Tech,13.42,Four,In stock,40
Book Title Item #0053,Arts & Design,31.46,Five,In stock,52
Book Title Item #0054,Business,23.67,Five,In stock,59
Book Title Item #0055,Fiction,12.09,Two,Out of stock,38
Book Title Item #0056,Arts & Design,18.68,Four,In stock,43
Book Title Item #0057,Non-Fiction,33.85,Three,In stock,36
Book Title Item #0058,History,23.39,One,Out of stock,45
Book Title Item #0059,Fiction,106.94,Three,In stock,42
Book Title Item #0060,History,25.66,Three,In stock,49
Book Title Item #0061,Self-Help,65.74,Five,In stock,38
Book Title Item #0062,Non-Fiction,80.43,Three,In stock,52
Book Title Item #0063,Non-Fiction,27.88,Five,In stock,41
Book Title Item #0064,Fiction,26.63,One,Out of stock,41
Book Title Item #0065,Non-Fiction,28.22,Three,In stock,50
Book Title Item #0066,Business,33.81,Three,In stock,34
Book Title Item #0067,Non-Fiction,30.22,Three,In stock,37
Book Title Item #0068,History,19.06,One,In stock,37
Book Title Item #0069,History,44.21,Two,Out of stock,58
Book Title Item #0070,Arts & Design,30.16,Four,Out of stock,42
Book Title Item #0071,History,108.98,Three,In stock,43
Book Title Item #0072,Arts & Design,59.11,Three,In stock,39
Book Title Item #0073,History,30.4,Three,In stock,41
Book Title Item #0074,Business,49.85,Five,In stock,41
Book Title Item #0075,Arts & Design,48.87,Five,In stock,32
Book Title Item #0076,Science & Tech,63.27,Four,In stock,43
Book Title Item #0077,Self-Help,13.5,Three,In stock,42
Book Title Item #0078,Fiction,18.13,Two,In stock,40
Book Title Item #0079,History,23.18,Five,In stock,31
Book Title Item #0080,Non-Fiction,281.25,One,In stock,37
Book Title Item #0081,History,22.79,Three,In stock,50
Book Title Item #0082,Non-Fiction,70.57,Three,In stock,46
Book Title Item #0083,Self-Help,19.54,Three,In stock,45
Book Title Item #0084,Self-Help,41.93,Two,Out of stock,41
Book Title Item #0085,Self-Help,,Four,In stock,38
Book Title Item #0086,Non-Fiction,45.61,Two,In stock,55
Book Title Item #0087,History,53.15,Four,In stock,46
Book Title Item #0088,Self-Help,61.1,Two,In stock,36
Book Title Item #0089,Business,77.37,One,Out of stock,45
Book Title Item #0090,Arts & Design,,Five,In stock,44
Book Title Item #0091,Non-Fiction,23.28,Two,In stock,47
Book Title Item #0092,Non-Fiction,45.91,Five,Out of stock,46
Book Title Item #0093,History,45.5,Four,In stock,51
Book Title Item #0094,Non-Fiction,55.84,One,In stock,37
Book Title Item #0095,Non-Fiction,15.78,Five,In stock,49
Book Title Item #0096,Self-Help,54.14,Three,In stock,43
Book Title Item #0097,History,17.15,Five,In stock,48
Book Title Item #0098,Self-Help,42.5,Two,In stock,47
Book Title Item #0099,Arts & Design,29.75,Five,In stock,71
Book Title Item #0100,Arts & Design,67.01,One,Out of stock,47
Book Title Item #0101,Self-Help,,Four,In stock,53
Book Title Item #0102,Arts & Design,40.55,Four,In stock,51
Book Title Item #0103,History,45.68,Five,In stock,38
Book Title Item #0104,Fiction,30.39,Five,In stock,42
Book Title Item #0105,Self-Help,40.54,Five,In stock,49
Book Title Item #0106,Business,28.47,Five,Out of stock,35
Book Title Item #0107,Business,39.56,Two,In stock,47
Book Title Item #0108,Non-Fiction,44.74,Three,In stock,50
Book Title Item #0109,Arts & Design,27.75,Three,In stock,43
Book Title Item #0110,Business,34.49,Three,In stock,41
Book Title Item #0111,Non-Fiction,11.38,Three,Out of stock,53
Book Title Item #0112,Fiction,29.67,Four,In stock,49
Book Title Item #0113,History,18.43,Two,Out of stock,38
Book Title Item #0114,History,33.63,Four,In stock,53
Book Title Item #0115,History,64.39,Two,In stock,48
Book Title Item #0116,Business,70.15,Three,In stock,52
Book Title Item #0117,Fiction,32.83,Four,In stock,40
Book Title Item #0118,Business,19.37,Four,In stock,39
Book Title Item #0119,Arts & Design,18.46,Four,In stock,38
Book Title Item #0120,Business,58.01,Four,In stock,42
Book Title Item #0121,Fiction,33.11,Two,In stock,45
Book Title Item #0122,Fiction,38.47,Four,In stock,40
Book Title Item #0123,Arts & Design,,Two,In stock,47
Book Title Item #0124,Fiction,47.95,Three,Out of stock,41
Book Title Item #0125,Fiction,36.43,Three,In stock,45
Book Title Item #0126,History,52.96,One,In stock,49
Book Title Item #0127,Arts & Design,53.34,Three,In stock,44
Book Title Item #0128,Science & Tech,21.82,Five,In stock,52
Book Title Item #0129,Science & Tech,43.75,Five,In stock,55
Book Title Item #0130,Fiction,,Three,In stock,44
Book Title Item #0131,Science & Tech,47.62,One,In stock,47
Book Title Item #0132,Science & Tech,423.68,Two,Out of stock,44
Book Title Item #0133,Fiction,24.32,Three,In stock,44
Book Title Item #0134,Science & Tech,24.56,Five,In stock,45
Book Title Item #0135,Business,36.71,Two,In stock,51
Book Title Item #0136,Non-Fiction,26.1,Four,In stock,46
Book Title Item #0137,Arts & Design,60.74,Two,In stock,44
Book Title Item #0138,Non-Fiction,33.72,Five,In stock,50
Book Title Item #0139,Fiction,25.31,Three,In stock,48
Book Title Item #0140,History,61.53,Four,In stock,46
Book Title Item #0141,Arts & Design,527.6,Three,In stock,41
Book Title Item #0142,Fiction,36.52,Four,In stock,46
Book Title Item #0143,History,27.05,Two,In stock,37
Book Title Item #0144,Non-Fiction,110.91,Two,In stock,36
Book Title Item #0145,Fiction,36.55,Five,Out of stock,44
Book Title Item #0146,Arts & Design,22.71,Five,In stock,51
Book Title Item #0147,Arts & Design,37.73,Five,In stock,51
Book Title Item #0148,Self-Help,33.61,Four,In stock,35
Book Title Item #0149,Business,24.68,Five,In stock,44
Book Title Item #0150,Science & Tech,60.54,One,In stock,50
Book Title Item #0151,History,50.82,Three,In stock,43
Book Title Item #0152,Self-Help,42.7,Three,In stock,39
Book Title Item #0153,Science & Tech,23.75,Four,In stock,43
Book Title Item #0154,Science & Tech,87.25,Three,In stock,38
Book Title Item #0155,Fiction,44.53,Two,In stock,53
Book Title Item #0156,Science & Tech,26.93,Four,Out of stock,42
Book Title Item #0157,,63.43,Five,In stock,34
Book Title Item #0158,Arts & Design,39.29,Three,In stock,49
Book Title Item #0159,Self-Help,,Two,In stock,49
Book Title Item #0160,Science & Tech,45.52,Two,In stock,44
Book Title Item #0161,Fiction,101.64,Three,In stock,61
Book Title Item #0162,Business,20.73,Three,In stock,58
Book Title Item #0163,Non-Fiction,27.7,Four,Out of stock,46
Book Title Item #0164,Arts & Design,137.35,Four,In stock,39
Book Title Item #0165,Arts & Design,35.13,Four,In stock,39
Book Title Item #0166,Self-Help,19.59,Three,In stock,43
Book Title Item #0167,Arts & Design,49.37,Five,In stock,44
Book Title Item #0168,Science & Tech,63.49,Three,In stock,46
Book Title Item #0169,Fiction,34.87,Four,Out of stock,37
Book Title Item #0170,Arts & Design,12.6,Five,Out of stock,40
Book Title Item #0171,Arts & Design,22.37,Two,In stock,41
Book Title Item #0172,Non-Fiction,15.11,Two,In stock,36
Book Title Item #0173,Non-Fiction,94.43,Five,In stock,47
Book Title Item #0174,History,14.47,Three,In stock,40
Book Title Item #0175,Business,27.03,Four,Out of stock,43
Book Title Item #0176,Science & Tech,48.61,One,In stock,39
Book Title Item #0177,Arts & Design,18.17,Four,In stock,43
Book Title Item #0178,Arts & Design,,Three,In stock,49
Book Title Item #0179,Fiction,25.35,One,In stock,53
Book Title Item #0180,History,43.76,Four,Out of stock,51
Book Title Item #0181,Business,31.61,Three,In stock,35
Book Title Item #0182,History,34.02,Three,In stock,44
Book Title Item #0183,Self-Help,62.65,Two,In stock,37
Book Title Item #0184,Business,19.27,Two,In stock,43
Book Title Item #0185,Arts & Design,43.66,Three,In stock,55
Book Title Item #0186,Arts & Design,55.56,Two,In stock,40
Book Title Item #0187,Business,18.26,Five,In stock,45
Book Title Item #0188,Arts & Design,15.16,One,In stock,40
Book Title Item #0189,Science & Tech,31.94,Four,In stock,38
Book Title Item #0190,Business,10.99,Two,In stock,49
Book Title Item #0191,History,42.23,Three,In stock,48
Book Title Item #0192,Business,51.47,Five,In stock,61
Book Title Item #0193,Arts & Design,16.73,Two,In stock,40
Book Title Item #0194,Science & Tech,56.62,Five,In stock,58
Book Title Item #0195,Science & Tech,67.42,Three,In stock,51
Book Title Item #0196,Self-Help,44.64,Four,In stock,45
Book Title Item #0197,History,69.78,Four,Out of stock,38
Book Title Item #0198,Non-Fiction,31.0,Five,In stock,36
Book Title Item #0199,Non-Fiction,27.36,Four,In stock,58
Book Title Item #0200,Business,34.49,Four,In stock,46
Book Title Item #0201,Self-Help,20.69,Two,In stock,41
